index,assignment_id,attribute,worker_id,n_clicks,n_seconds,last_modified
0,47675220ac,content_building,d5aca35895,1,0.226,2016-09-28T13:31:00+00:00
1,9c28773b23,content_building,f271b650e2,259,332.214,2016-09-28T13:53:21+00:00
2,f8952a1c5b,content_building,4bb66df86d,1,0.371,2016-09-28T13:50:16+00:00
3,005e6d1ef2,content_building,236e6c846c,204,202.283,2016-09-28T14:31:42+00:00
4,01472abfcc,content_building,7a2d272d29,203,283.921,2016-09-28T15:00:36+00:00
5,9ecff35863,content_building,0124ede72a,340,318.005,2016-09-28T14:30:01+00:00
6,f06aaba291,content_building,f2b9afb9d0,1,0.21,2016-09-28T14:05:45+00:00
7,7a99445257,content_building,21898690cd,236,527.923,2016-09-28T14:32:14+00:00
8,a249041c66,content_building,0124ede72a,226,177.794,2016-09-28T14:47:17+00:00
9,3f6293bd3b,content_building,ef95671fee,249,215.267,2016-09-28T14:42:12+00:00
10,bfeb317b19,content_building,e97ed89aa0,1,0.28700000000000003,2016-09-28T14:49:20+00:00
11,737ef51775,content_building,f422a67fb7,279,251.644,2016-09-28T14:01:03+00:00
12,b73a1c2d05,content_building,e97ed89aa0,1,0.34900000000000003,2016-09-28T14:33:52+00:00
13,f8713b2ade,content_building,508199e983,161,208.064,2016-09-28T15:07:02+00:00
14,7d580eb717,content_building,a4c00dc95b,190,132.638,2016-09-28T14:40:08+00:00
15,6910e88f84,content_building,5febb85773,240,271.597,2016-09-28T14:46:38+00:00
16,7e240f7029,content_building,704297a38b,216,289.758,2016-09-28T14:44:44+00:00
17,f06fad5da9,content_building,6a8db89152,199,513.99,2016-09-28T13:46:37+00:00
18,8b5761fc5f,content_building,62b564ed43,146,113.304,2016-09-28T14:59:57+00:00
19,1090ad1273,content_building,b13f46ce25,1,0.199,2016-09-28T15:29:33+00:00
20,2e6a30887e,content_building,5febb85773,292,296.158,2016-09-28T14:56:16+00:00
21,5f86bfaf45,content_building,b13f46ce25,178,527.653,2016-09-28T14:56:54+00:00
22,a02ddf8700,content_building,236e6c846c,192,180.698,2016-09-28T14:34:49+00:00
23,6b2983f1b7,content_building,236e6c846c,194,173.925,2016-09-28T14:37:49+00:00
